Turbidity (NTU),ADC Counts,Voltage (V)
0.0,25655,4.810459
0.0,25667,4.812709
0.0,25649,4.809334
0.0,25647,4.808959
0.0,25666,4.812522
0.0,25649,4.809334
0.0,25645,4.808584
0.0,25664,4.812147
0.0,25638,4.807272
0.0,25654,4.810272
200.0,24975,4.682955
200.0,24962,4.680518
200.0,24961,4.68033
200.0,24932,4.674893
200.0,24943,4.676955
200.0,24922,4.673018
200.0,24919,4.672455
200.0,24920,4.672643
200.0,24938,4.676018
200.0,24937,4.67583
20.0,25359,4.754958
20.0,25328,4.749145
20.0,25336,4.750645
20.0,25326,4.74877
20.0,25333,4.750082
20.0,25342,4.75177
20.0,25338,4.75102
20.0,25333,4.750082
20.0,25318,4.74727
20.0,25305,4.744832
